固相見かけ流速,気相見かけ流速,液相見かけ流速,固相体積率,気相体積率,液相体積率,ガラス球直径,NAME,FullPath,mean,var
0.0,31.92275526,6.059600508,0.0,0.749158165,0.250841835,-,P20240726-1022,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240726-1022_processed.npz,,
0.0,32.68563555,6.101101262,0.0,0.745521474,0.254478526,-,P20240726-1055,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240726-1055_processed.npz,,
0.0,32.04813139,4.543444783,0.0,0.7546132,0.2453868,-,P20240726-1113,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240726-1113_processed.npz,,
0.0,31.96898155,4.555285874,0.0,0.742793957,0.257206043,-,P20240726-1122,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240726-1122_processed.npz,,
0.0,32.88197597,3.11906641,0.0,0.747339819,0.252660181,-,P20240726-1334,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240726-1334_processed.npz,,
0.0,18.49226414,1.861121628,0.0,0.745521474,0.254478526,-,P20240726-1400,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240726-1400_processed.npz,,
0.0,0.0,5.982471686,0.0,0.0,1.0,-,P20240726-1600,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240726-1600_processed.npz,0.039046961814165115,0.000048885398427955806
0.0,0.0,5.982471686,0.0,0.0,1.0,-,P20240726-1601,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240726-1601_processed.npz,,
0.0,0.0,4.546059294,0.0,0.0,1.0,-,P20240726-1606,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240726-1606_processed.npz,,
0.0,0.0,4.546059294,0.0,0.0,1.0,-,P20240726-1607,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240726-1607_processed.npz,,
0.0,0.0,3.027802132,0.0,0.0,1.0,-,P20240726-1614,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240726-1614_processed.npz,,
0.0,0.0,3.027802132,0.0,0.0,1.0,-,P20240726-1615,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240726-1615_processed.npz,,
0.0,50.09079695,3.104565024,0.0,0.846439625,0.153560375,-,P20240729-1437,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240729-1437_processed.npz,,
0.0,63.30147324,4.46049665,0.0,0.877351491,0.122648509,-,P20240729-1605,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240729-1605_processed.npz,,
0.0,28.83335524,4.546734212,0.0,0.733702232,0.266297768,-,P20240729-1351,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240729-1351_processed.npz,,
0.0,50.31843827,3.090860017,0.0,0.84462128,0.15537872,-,P20240729-1423,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240729-1423_processed.npz,,
0.0,61.17138097,4.422921576,0.0,0.857349696,0.142650304,-,P20240730-1018,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240730-1018_processed.npz,,
0.0,61.28509808,4.551800018,0.0,0.890989079,0.109010921,-,P20240730-1052,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240730-1052_processed.npz,,
0.0,61.35972273,4.493181706,0.0,0.900080804,0.099919196,-,P20240730-1100,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240730-1100_processed.npz,,
0.0,60.50894544,4.456634311,0.0,0.831892865,0.168107135,-,P20240730-1606,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240730-1606_processed.npz,,
0.0,60.03413858,4.471945601,0.0,0.840075418,0.159924582,-,P20240730-1616,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240730-1616_processed.npz,,
0.0,58.44393722,4.507448947,0.0,0.823710312,0.176289688,-,P20240731-1028,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240731-1028_processed.npz,,
0.0,58.38199411,4.505957957,0.0,0.820982794,0.179017206,-,P20240731-1036,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240731-1036_processed.npz,,
0.344051535,60.49473393,3.041272648,0.013656376,0.843622325,0.1427213,0.005,P20240805-1113,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240805-1113_processed.npz,,
0.357813597,60.40238407,2.947188776,0.013301487,0.861805775,0.124892737,0.005,P20240805-1128,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240805-1128_processed.npz,,
0.311523027,61.2249581,3.016118324,0.007350283,0.813619631,0.179030086,0.005,P20240805-1424,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240805-1424_processed.npz,,
0.292756579,60.12603555,3.135591862,0.004852415,0.900900194,0.09424739,0.005,P20240805-1013,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240805-1013_processed.npz,,
0.337796053,60.24480133,2.944110035,0.008865383,0.846349842,0.144784774,0.005,P20240805-1030,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240805-1030_processed.npz,,
0.281496711,61.69372346,3.050075063,0.006736053,0.827257219,0.166006727,0.005,P20240806-1430,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240806-1430_processed.npz,,
0.420368422,47.56428421,4.025043716,0.018713534,0.727248241,0.254038225,0.005,P20240806-1543,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240806-1543_processed.npz,,
0.441637062,46.17477436,4.282110008,0.015499065,0.789981146,0.194519789,0.005,P20240806-1601,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240806-1601_processed.npz,,
0.250219299,62.01406629,3.137783467,0.005869307,0.860896603,0.13323409,0.005,P20240806-1443,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240806-1443_processed.npz,,
0.517953948,48.28189494,4.505081565,0.008701589,0.818165494,0.173132917,0.005,P20240808-1459,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240808-1459_processed.npz,,
0.377831141,47.99816076,4.611603408,0.009049652,0.881807571,0.109142777,0.005,P20240808-1437,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240808-1437_processed.npz,,
0.297760965,46.46118381,6.208216426,0.006756528,0.770888522,0.22235495,0.005,P20240820-1054,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240820-1054_processed.npz,,
0.211435307,46.74898159,6.148296462,0.006019452,0.774525213,0.219455335,0.005,P20240820-1122,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240820-1122_processed.npz,,
0.201426535,46.70783464,6.182926442,0.006852074,0.770888522,0.222259403,0.005,P20240820-1110,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240820-1110_processed.npz,,
0.233955044,54.16802293,6.004174426,0.003173521,0.818165494,0.178660985,0.005,P20240820-1425,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240820-1425_processed.npz,,
0.0,57.02654538,5.951812986,0.0,0.782797548,0.217202452,-,P20240820-1444,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240820-1444_processed.npz,,
0.212686404,54.06417263,6.025979138,0.003664904,0.831803082,0.164532014,0.005,P20240820-1435,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240820-1435_processed.npz,,
0.0,56.58224688,5.958816011,0.0,0.746430647,0.253569353,-,P20240820-1532,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240820-1532_processed.npz,,
0.0,57.34696605,5.931821626,0.0,0.740975612,0.259024388,-,P20240820-1539,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240820-1539_processed.npz,,
0.0,57.02613084,5.932763191,0.0,0.763704925,0.236295075,-,P20240820-1545,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240820-1545_processed.npz,,
0.0,63.53698398,5.270805055,0.0,0.795525964,0.204474036,-,P20240820-1611,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240820-1611_processed.npz,,
0.0,63.74142509,5.263217021,0.0,0.790980101,0.209019899,-,P20240820-1617,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240820-1617_processed.npz,,
0.0,63.71816477,5.265870912,0.0,0.804617689,0.195382311,-,P20240820-1622,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240820-1622_processed.npz,,
0.222695176,46.96133683,6.235992628,0.007275211,0.739067484,0.253657305,0.005,P20240820-1133,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240820-1133_processed.npz,,
0.215188597,54.13475664,6.038632837,0.008892682,0.801800389,0.189306929,0.005,P20240820-1414,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240820-1414_processed.npz,,
0.130114035,61.02480793,4.71876807,0.00410169,0.839985635,0.155912675,0.005,P20240821-1002,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240821-1002_processed.npz,,
0.158889255,63.38901148,4.48969157,0.002825457,0.85998743,0.137187113,0.005,P20240821-1018,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240821-1018_processed.npz,,
0.162642544,63.56923071,4.430135422,0.003460161,0.839985635,0.156554204,0.005,P20240821-1029,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240821-1029_processed.npz,,
0.166395834,63.41248649,4.477083707,0.004149463,0.833621427,0.16222911,0.005,P20240821-1039,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240821-1039_processed.npz,,
0.0,62.44940716,4.507136515,0.0,0.880079009,0.119920991,-,P20240821-1605,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240821-1605_processed.npz,,
0.0,64.17204347,4.503330399,0.0,0.866441421,0.133558579,-,P20240821-1616,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240821-1616_processed.npz,,
0.0,63.24243097,4.504155959,0.0,0.875533146,0.124466854,-,P20240821-1626,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240821-1626_processed.npz,,
0.201426535,63.60025763,3.216748835,0.004251835,0.901809367,0.093938798,0.005,P20240822-1621,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1621_processed.npz,,
0.223946272,44.62360318,5.988847971,0.0053165,0.821802184,0.172881316,0.005,P20240822-1354,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1354_processed.npz,,
0.19266886,63.09260404,3.282588983,0.003876472,0.901809367,0.094314161,0.005,P20240822-1609,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1609_processed.npz,,
0.210184211,44.51753647,6.004416358,0.008558268,0.8345306,0.156911132,0.005,P20240822-1415,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1415_processed.npz,,
0.226448465,44.87962623,5.932403687,0.007650573,0.829984737,0.16236469,0.005,P20240822-1405,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1405_processed.npz,,
0.218941886,62.94352905,3.248107184,0.005862482,0.916356127,0.077781391,0.005,P20240822-1543,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1543_processed.npz,,
